Phylum/broader classification,Order,Family,Genera,Species,LTU,Cruise Number,Date,Site,Tow Type,Tow #,Net #,Sample #,n,Label,Start Depth,End Depth,Depth Filtered,Volume Filtered,Corrected Volume Filtered,"Volume Filtered/10,000m3","n/10,000 m3","n/10,000m2",Mass (g),Mass Correction Factor,Corrected Mass (g),"g/10,000 m3","g/10,000m2",ETP Endemic?,Preservative,Broad Classification,Micronekton?,Jar Size,Comments
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,obscura,Cyclothone obscura,DG5B,2021-03-17,PRZ,Day,S1,1,5,4,DG5B_M10_S1_1_5_Cyclothone obscura,1500,1001,499,18015,10008.33333,1.000833333,3.996669442,1994.338052,0.49,2.18,1.07,1.066398005,532.1326047,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,pallida,Cyclothone pallida,DG5B,2021-03-17,PRZ,Day,S1,1,5,1,DG5B_M10_S1_1_5_Cyclothone pallida,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.18,2.18,0.39,0.391738043,195.4772834,No,,Fish,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,cucullata,Acanthephyra cucullata,DG5B,2021-03-17,PRZ,Day,S1,1,6,2,DG5B_M10_S1_1_6_Acanthephyra cucullata,1500,1001,499,18015,10008.33333,1.000833333,1.998334721,997.1690258,3.74,1.39,5.20,5.191325746,2590.471547,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,curtirostris,Acanthephyra curtirostris,DG5B,2021-03-17,PRZ,Day,S1,1,6,1,DG5B_M10_S1_1_6_Acanthephyra curtirostris,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.07,1.39,0.10,0.10140936,50.60327079,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,grevicarinata,Acanthephyra grevicarinata,DG5B,2021-03-17,PRZ,Day,S1,1,6,16,DG5B_M10_S1_1_6_Acanthephyra grevicarinata,1500,1001,499,18015,10008.33333,1.000833333,15.98667777,7977.352206,26.30,1.39,36.56,36.53237476,18229.655,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,sp.,Acanthephyra sp.,DG5B,2021-03-17,PRZ,Day,S1,1,6,3,DG5B_M10_S1_1_6_Acanthephyra sp.,1500,1001,499,18015,10008.33333,1.000833333,2.997502082,1495.753539,0.08,1.39,0.11,0.108355207,54.06924825,,,Crustacea,Yes,,
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,grimaldii,Eucopia grimaldii,DG5B,2021-03-17,PRZ,Day,S1,1,6,2,DG5B_M10_S1_1_6_Eucopia grimaldii,1500,1001,499,18015,10008.33333,1.000833333,1.998334721,997.1690258,0.75,1.39,1.04,1.036320312,517.1238358,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Hymenodora,gracilis,Hymenodora gracilis,DG5B,2021-03-17,PRZ,Day,S1,1,6,2,DG5B_M10_S1_1_6_Hymenodora gracilis,1500,1001,499,18015,10008.33333,1.000833333,1.998334721,997.1690258,0.30,1.39,0.41,0.413972457,206.5722561,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Hymenodora,sp.,Hymenodora sp.,DG5B,2021-03-17,PRZ,Day,S1,1,6,1,DG5B_M10_S1_1_6_Hymenodora sp.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.01,1.39,0.02,0.016670032,8.318345884,,,Crustacea,Yes,,
Arthropoda,Decapoda,Penaeidae,Penaeidae,gen. sp.,Penaeidae gen. sp.,DG5B,2021-03-17,PRZ,Day,S1,1,6,1,DG5B_M10_S1_1_6_Penaeidae gen. sp.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.04,1.37,0.05,0.049261848,24.5816621,,,Crustacea,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergia,sp.,Sergia sp.,DG5B,2021-03-17,PRZ,Day,S1,1,7,2,DG5B_M10_S1_1_7_Sergia sp.,1500,1001,499,18015,10008.33333,1.000833333,1.998334721,997.1690258,1.35,1.38,1.86,1.855933583,926.1108577,,,Crustacea,Yes,,
Arthropoda,Mysida,Mysidae,Boreomysis,sp.,Boreomysis sp.,DG5B,2021-03-17,PRZ,Day,S1,1,9,3,DG5B_M10_S1_1_9_Boreomysis sp.,1500,1001,499,18015,10008.33333,1.000833333,2.997502082,1495.753539,0.16,1.66,0.27,0.264857543,132.1639141,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,australis confer.,Eucopia australis confer.,DG5B,2021-03-17,PRZ,Day,S1,1,9,1,DG5B_M10_S1_1_9_Eucopia australis confer.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.74,1.39,1.02,1.02103945,509.4986854,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,grimaldii,Eucopia grimaldii,DG5B,2021-03-17,PRZ,Day,S1,1,9,14,DG5B_M10_S1_1_9_Eucopia grimaldii,1500,1001,499,18015,10008.33333,1.000833333,13.98834305,6980.183181,2.36,1.39,3.27,3.271493747,1632.47538,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,sculpticauda,Eucopia sculpticauda,DG5B,2021-03-17,PRZ,Day,S1,1,9,15,DG5B_M10_S1_1_9_Eucopia sculpticauda,1500,1001,499,18015,10008.33333,1.000833333,14.98751041,7478.767694,2.49,1.39,3.45,3.452085759,1722.590793,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Decapoda,Acanthephyridae,Hymenodora,sp.,Hymenodora sp.,DG5B,2021-03-17,PRZ,Day,S1,1,9,1,DG5B_M10_S1_1_9_Hymenodora sp.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.05,1.39,0.07,0.068069297,33.96657903,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Lophogastridae,Lophogaster,sp.,Lophogaster sp.,DG5B,2021-03-17,PRZ,Day,S1,1,9,2,DG5B_M10_S1_1_9_Lophogaster sp.,1500,1001,499,18015,10008.33333,1.000833333,1.998334721,997.1690258,1.89,1.73,3.27,3.263174383,1628.324017,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Decapoda,Benthesicymidae,Bentheogennema,intermedia,Bentheogennema intermedia,DG5B,2021-03-17,PRZ,Day,S1,1,10,1,DG5B_M10_S1_1_10_Bentheogennema intermedia,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,1.37,2.14,2.93,2.925977891,1460.062968,,,Crustacea,Yes,,
Arthropoda,Decapoda,Penaeoidea,Gennadas,sp.,Gennadas sp.,DG5B,2021-03-17,PRZ,Day,S1,1,10,1,DG5B_M10_S1_1_10_Gennadas sp.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.27,1.51,0.40,0.399853777,199.5270349,,,Crustacea,Yes,,
Arthropoda,Decapoda,Caridea,Caridea,fam. gen. sp.,Caridea fam. gen. sp.,DG5B,2021-03-17,PRZ,Day,S1,1,10,1,DG5B_M10_S1_1_10_Caridea fam. gen. sp.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.28,2.00,0.56,0.56226973,280.5725955,,,Crustacea,Yes,,
Arthropoda,Amphipoda,,Amphipoda,fam. gen. sp.,Amphipoda fam. gen. sp.,DG5B,2021-03-17,PRZ,Day,S1,1,14,11,DG5B_M10_S1_1_14_Amphipoda fam. gen. sp.,1500,1001,499,18015,10008.33333,1.000833333,10.99084097,5484.429642,0.60,1.00,0.60,0.599500416,299.1507077,,ETOH 100,Crustacea,YN,SCINT,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-17,PRZ,Day,S1,1,17,4,DG5B_M10_S1_1_17_Osteichthyes fam. gen. sp. juv.,1500,1001,499,18015,10008.33333,1.000833333,3.996669442,1994.338052,0.20,1.00,0.20,0.199833472,99.71690258,CD,10% formalin,Fish,Will be,SCINT,
Chordata,Stomiiformes,Sternoptychidae,Argyropelecus,lychnus,Argyropelecus lychnus,DG5B,2021-03-17,PRZ,Day,S1,1,18,2,DG5B_M10_S1_1_18_Argyropelecus lychnus,1500,1001,499,18015,10008.33333,1.000833333,1.998334721,997.1690258,0.18,1.88,0.34,0.338199475,168.7615379,Yes,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Lampanyctus,omostigma,Lampanyctus omostigma,DG5B,2021-03-18,PRZ,Day,S2,1,78,2,DG5B_M10_S2_1_78_Lampanyctus omostigma,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.363126519,181.6721976,0.27,1.67,0.45,0.081841322,40.94521334,Yes,ETOH 100,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Lampanyctus,sp.,Lampanyctus sp.,DG5B,2021-03-18,PRZ,Day,S2,1,78,1,DG5B_M10_S2_1_78_Lampanyctus sp.,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.03,1.67,0.05,0.00909348,4.549468148,CD,ETOH 100,Fish,Yes,,"Not L. parvicauda or L. omostigma, caudal underdeveloped where key characteristics are"
Chordata,Myctophiformes,Myctophidae,Lampanyctus,parvicauda,Lampanyctus parvicauda,DG5B,2021-03-18,PRZ,Day,S2,1,78,2,DG5B_M10_S2_1_78_Lampanyctus parvicauda,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.363126519,181.6721976,4.99,1.67,8.33,1.512548875,756.728202,Yes,ETOH 100,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Scopeloberyx,malayanus,Scopeloberyx malayanus,DG5B,2021-03-18,PRZ,Day,S2,1,79,4,DG5B_M10_S2_1_79_Scopeloberyx malayanus,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.726253039,363.3443952,1.76,1.94,3.41,0.619779565,310.0757163,No,ETOH 100,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Melamphaes,spinifer,Melamphaes spinifer,DG5B,2021-03-18,PRZ,Day,S2,1,79,1,DG5B_M10_S2_1_79_Melamphaes spinifer,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,2.10,1.94,4.07,0.739509708,369.9767069,Yes,ETOH 100,Fish,Yes,,
Chordata,Lophiiformes,Oneirodidae,Lophodolus,acanthognathus,Lophodolus acanthognathus,DG5B,2021-03-18,PRZ,Day,S2,1,80,1,DG5B_M10_S2_1_80_Lophodolus acanthognathus,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.15,2.21,0.33,0.060196576,30.11634697,No,ETOH 100,Fish,Yes,,
Chordata,Stomiiformes,Sternoptychidae,Argyropelecus,lychnus,Argyropelecus lychnus,DG5B,2021-03-18,PRZ,Day,S2,1,82,1,DG5B_M10_S2_1_82_Argyropelecus lychnus,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,2.02,1.88,3.80,0.689670303,345.0420525,Yes,ETOH 100,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Cyclothone acclinidens,DG5B,2021-03-18,PRZ,Day,S2,1,83,7,DG5B_M10_S2_1_83_Cyclothone acclinidens,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,1.270942818,635.8526917,0.65,2.18,1.42,0.257055164,128.6046987,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,obscura,Cyclothone obscura,DG5B,2021-03-18,PRZ,Day,S2,1,83,1,DG5B_M10_S2_1_83_Cyclothone obscura,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.35,2.18,0.76,0.138414319,69.2486839,No,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,sp.,Cyclothone sp.,DG5B,2021-03-18,PRZ,Day,S2,1,83,1,DG5B_M10_S2_1_83_Cyclothone sp.,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.03,2.18,0.07,0.011864085,5.935601477,CD,,Fish,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,brevicarinata,Acanthephyra brevicarinata,DG5B,2021-03-18,PRZ,Day,S2,1,84,10,DG5B_M10_S2_1_84_Acanthephyra brevicarinata,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,1.815632597,908.3609881,12.78,1.39,17.77,3.226084729,1614.01019,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Acanthephyra,brevicarinata,Acanthephyra brevicarinata,DG5B,2021-03-18,PRZ,Day,S2,1,84,6,DG5B_M10_S2_1_84_Acanthephyra brevicarinata,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,1.089379558,545.0165929,50.05,1.39,69.59,12.63423636,6320.908452,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Ephyrina,benedicti,Ephyrina benedicti,DG5B,2021-03-18,PRZ,Day,S2,1,84,1,DG5B_M10_S2_1_84_Ephyrina benedicti,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.11,1.39,0.15,0.02751512,13.76581461,,,Crustacea,Yes,,
Arthropoda,Decapoda,Acanthephyridae,Meningodora,mollis,Meningodora mollis,DG5B,2021-03-18,PRZ,Day,S2,1,84,1,DG5B_M10_S2_1_84_Meningodora mollis,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,6.18,1.39,8.59,1.560031583,780.4838008,,,Crustacea,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergia,bisulcata,Sergia bisulcata,DG5B,2021-03-18,PRZ,Day,S2,1,85,1,DG5B_M10_S2_1_85_Sergia bisulcata,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.92,1.38,1.27,0.230000108,115.0690542,,,Crustacea,Yes,,
Arthropoda,Decapoda,Sergestoidea,Sergia,tenuiremis,Sergia tenuiremis,DG5B,2021-03-18,PRZ,Day,S2,1,85,1,DG5B_M10_S2_1_85_Sergia tenuiremis,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.47,1.38,0.65,0.118000056,59.03542779,,,Crustacea,Yes,,
Arthropoda,Decapoda,Benthesicymidae,Bentheogennema,intermedia,Bentheogennema intermedia,DG5B,2021-03-18,PRZ,Day,S2,1,86,1,DG5B_M10_S2_1_86_Bentheogennema intermedia,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.77,2.14,1.66,0.300809308,150.4948966,,,Crustacea,Yes,,
Arthropoda,Decapoda,Penaeoidea,Gennadas,sordidus,Gennadas sordidus,DG5B,2021-03-18,PRZ,Day,S2,1,86,1,DG5B_M10_S2_1_86_Gennadas sordidus,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.04,2.00,0.07,0.013265403,6.636681088,,,Crustacea,Yes,,
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,grimaldii,Eucopia grimaldii,DG5B,2021-03-18,PRZ,Day,S2,1,88,12,DG5B_M10_S2_1_88_Eucopia grimaldii,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,2.178759116,1090.033186,5.41,1.39,7.52,1.365153851,682.9864717,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Eucopiidae,Eucopia,sculpticauda,Eucopia sculpticauda,DG5B,2021-03-18,PRZ,Day,S2,1,88,7,DG5B_M10_S2_1_88_Eucopia sculpticauda,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,1.270942818,635.8526917,1.84,1.39,2.56,0.46422299,232.2507621,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Lophogastrida,Gnathophausiidae,Gnathophausia,gracilis,Gnathophausia gracilis,DG5B,2021-03-18,PRZ,Day,S2,1,88,1,DG5B_M10_S2_1_88_Gnathophausia gracilis,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.30,1.44,0.43,0.077716707,38.88166866,,,Crustacea,Yes,,Lost by FedEx
Arthropoda,Amphipoda,,Amphipoda,fam. gen. sp.,Amphipoda fam. gen. sp.,DG5B,2021-03-18,PRZ,Day,S2,1,89,10,DG5B_M10_S2_1_89_Amphipoda fam. gen. sp.,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,1.815632597,908.3609881,1.35,1.00,1.35,0.245110401,122.6287334,,ETOH 100,Crustacea,YN,SCINT,
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-03-18,PRZ,Day,S2,1,90,1,DG5B_M10_S2_1_90_Sergestidae gen. sp. juv.,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,0.01,5.09,0.05,0.00923815,4.621846527,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Euphausiacea,,Euphausiid,lobedeye,Euphausiid lobedeye,DG5B,2021-03-18,PRZ,Day,S2,1,90,4,DG5B_M10_S2_1_90_Euphausiid lobedeye,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.726253039,363.3443952,0.22,1.00,0.22,0.039943917,19.98394174,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-03-18,PRZ,Day,S2,1,90,5,DG5B_M10_S2_1_90_Euphausiid roundeye,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.907816298,454.1804941,0.02,1.00,0.02,0.003631265,1.816721976,,,Euphausiid,YN,,
Arthropoda,Myodocopida,Cypridiinidae,Gigantocypris,sp.,Gigantocypris sp.,DG5B,2021-03-18,PRZ,Day,S2,1,90,1,DG5B_M10_S2_1_90_Gigantocypris sp.,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,1.08,1.00,1.08,0.19608832,98.10298672,,10% formalin,Other,YN,,
Chordata,Anguilliformes,Nemichthyidae,Avocettina,sp.,Avocettina sp.,DG5B,2021-03-18,PRZ,Day,S2,1,97,1,DG5B_M10_S2_1_97_Avocettina sp.,1500.5,1000.2,500.3,99139,55077.22222,5.507722222,0.18156326,90.83609881,9.49,2.10,19.97,3.626128442,1814.15206,CD,,Fish,Yes,,
Chordata,Lophiiformes,Oneirodidae,Centrophryne,spinulosa,Centrophryne spinulosa,DG5B,2021-03-21,PRZ,Night,S3,1,142,1,DG5B_M10_S3_1_142_Centrophryne spinulosa,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,460.00,1.00,460.00,108.0559072,53811.84178,No,ETOH 100,Fish,Yes,,
Chordata,Lophiiformes,Oneirodidae,Oneirodidae,gen. sp.,Oneirodidae gen. sp.,DG5B,2021-03-21,PRZ,Night,S3,1,143,1,DG5B_M10_S3_1_143_Oneirodidae gen. sp.,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,1.17,2.21,2.59,0.60747597,302.5230328,CD,ETOH 100,Fish,Yes,,
Mollusca,Octopoda,Amphitretidae,Bolitaeninae,stet.,Bolitaeninae stet.,DG5B,2021-03-21,PRZ,Night,S3,1,144,1,DG5B_M10_S3_1_144_Bolitaeninae stet.,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,67.90,1.00,67.90,15.94999152,7943.095776,,10% formalin,Cephalopoda,Yes,8,Isotope sample taken 
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-03-21,PRZ,Night,S3,1,145,2,DG5B_M10_S3_1_145_Sergestidae gen. sp. juv.,1498,1000,498,76627,42570.55556,4.257055556,0.469808292,233.9645295,0.00,5.09,0.00,0,0,,,Crustacea,Will be,,"Originally IDed as 'juvenile', not juvenile, by Ande Westerhausen"
Arthropoda,Sergestoidea,Sergestidae,Sergestidae,gen. sp. juv.,Sergestidae gen. sp. juv.,DG5B,2021-03-21,PRZ,Night,S3,1,145,1,DG5B_M10_S3_1_145_Sergestidae gen. sp. juv.,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,0.01,5.09,0.05,0.011952197,5.952193909,,,Crustacea,Will be,,
Arthropoda,Euphausiacea,,Euphausiid,lobedeye,Euphausiid lobedeye,DG5B,2021-03-21,PRZ,Night,S3,1,145,2,DG5B_M10_S3_1_145_Euphausiid lobedeye,1498,1000,498,76627,42570.55556,4.257055556,0.469808292,233.9645295,0.06,1.00,0.06,0.014094249,7.018935884,,,Euphausiid,YN,,
Arthropoda,Euphausiacea,,Euphausiid,roundeye,Euphausiid roundeye,DG5B,2021-03-21,PRZ,Night,S3,1,145,2,DG5B_M10_S3_1_145_Euphausiid roundeye,1498,1000,498,76627,42570.55556,4.257055556,0.469808292,233.9645295,0.01,1.00,0.01,0.002349041,1.169822647,,,Euphausiid,YN,,
Chordata,,,Osteichthyes,fam. gen. sp. juv.,Osteichthyes fam. gen. sp. juv.,DG5B,2021-03-21,PRZ,Night,S3,1,145,3,DG5B_M10_S3_1_145_Osteichthyes fam. gen. sp. juv.,1498,1000,498,76627,42570.55556,4.257055556,0.704712438,350.9467942,0.03,1.00,0.03,0.007047124,3.509467942,CD,ETOH 100,Fish,Will be,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,sp.,Cyclothone sp.,DG5B,2021-03-21,PRZ,Night,S3,1,146,14,DG5B_M10_S3_1_146_Cyclothone sp.,1498,1000,498,76627,42570.55556,4.257055556,3.288658045,1637.751706,,2.18,0.00,0,0,CD,,Fish,Yes,,Frozen
Chordata,Beryciformes,Melamphaidae,Melamphaes,sp.,Melamphaes sp.,DG5B,2021-03-21,PRZ,Night,S3,1,147,1,DG5B_M10_S3_1_147_Melamphaes sp.,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,14.71,1.94,28.53,6.701931253,3337.561764,CD,ETOH 100,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Scopeloberyx,malayanus,Scopeloberyx malayanus,DG5B,2021-03-21,PRZ,Night,S3,1,147,4,DG5B_M10_S3_1_147_Scopeloberyx malayanus,1498,1000,498,76627,42570.55556,4.257055556,0.939616584,467.9290589,1.35,1.94,2.62,0.615065071,306.3024053,No,ETOH 100,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Scopeloberyx,robustus,Scopeloberyx robustus,DG5B,2021-03-21,PRZ,Night,S3,1,147,1,DG5B_M10_S3_1_147_Scopeloberyx robustus,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,6.65,1.94,12.90,3.029764978,1508.822959,No,ETOH 100,Fish,Yes,,
Chordata,Unknown,Unknown,Unknown,fish,Unknown fish,DG5B,2021-03-21,PRZ,Night,S3,1,148,1,DG5B_M10_S3_1_148_Unknown fish,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,3.93,1.65,6.50,1.526876949,760.3847208,CD,,Fish,Yes,,
Chordata,Argentiniformes,Bathylagidae,Dolicholagus,longirostris,Dolicholagus longirostris,DG5B,2021-03-21,PRZ,Night,S3,1,149,1,DG5B_M10_S3_1_149_Dolicholagus longirostris,1498,1000,498,76627,42570.55556,4.257055556,0.234904146,116.9822647,1.38,2.02,2.78,0.654033119,325.7084935,No,ETOH 100,Fish,Yes,,Check again
